OBJECTID,Join_Count,TARGET_FID,FIN,ACRES,SHORELINE_MILES,WATER,WATER_SYSTEM_NAME,WATER_SYSTEM_ID,SOURCE_NAME,PRINCIPAL_COUNTY_SERVED,FACILITY_ID,WATER_SYSTEM_TYPE,ADDITIONAL_REG_AGENCY,CONTACT_NAME,CONTACT_PHONE,POPULATION_SERVED,SOURCE_TYPE,SHAPE__Area,SHAPE__Length
25,1,1184,H-139-14-P815A,2023.799999999999955,19.000000000000000,Rondout Reservoir,NEW YORK CITY SYSTEM,NY7003493,RONDOUT RESERVOIR (50048 MG),NEW YORK ( BOROUGH),2572066.000000000000000,C,USEPA REGION 2,"LLOYD, EMILY",718-595-6500,8271000.000000000000000,IN,14771583.179687500000000,41010.556347114921664
26,1,1185,H-139-13-19-28-P491,101.500000000000000,4.000000000000000,Shawangunk Lake,MIDDLETOWN CITY,NY3503534,SHAWANGUNK RESERVOIR,ORANGE,2571312.000000000000000,C,ENVIRONMENTAL PROTECTION AGENCY,"TAWIL, JACOB",845-343-3169,28400.000000000000000,IN,732322.968750000000000,8507.253016631804712
27,1,1200,H-212-PN185,1363.400000000000091,17.199999999999999,Alcove Reservoir,ALBANY CITY,NY0100189,ALCOVE RESERVOIR,ALBANY,2570792.000000000000000,C, ,"KOSA, JOHN",518-434-5300,101082.000000000000000,IN,10156058.082031250000000,37521.208115332192392
28,1,1219,NJ-12-18-P1011,88.100000000000009,3.700000000000000,Lake Stahahe,LAKE STAHAHE WS,NY3517675,LAKE STAHAHE,ORANGE,2571340.000000000000000,NC, ,"WILLIAMS, FRED",845-786-2701,1000.000000000000000,IN,631625.371093750000000,7879.360772544250722
29,1,1235,NJ-12-15-P1007,290.900000000000034,4.400000000000000,Tuxedo Lake,TUXEDO PARK VILLAGE,NY3503557,TUXEDO LAKE,ORANGE,2571318.000000000000000,C, ,"TUXEDO PARK, MAYOR AND VILLAGE BD",845-351-4745,1100.000000000000000,IN,2082587.507812500000000,9353.122569611497966
30,1,1243,H-31-P44-14-P50,565.200000000000045,8.000000000000000,Amawalk Reservoir,WESTCHESTER COUNTY WD #2,NY5903489,"AMAWALK RESERVOIR, NYC CROTON SYSTEM",WESTCHESTER,2572025.000000000000000,C, ,"GEHO, MATTHEW",914-737-3558,0.000000000000000,IN,4059294.363281250000000,17246.938938785569917
31,1,1257,H-202-P6666,257.899999999999977,12.800000000000001,Sleepy Hollow Lake,SLEEPY HOLLOW LAKE WATER CO.,NY1915264,SLEEPY HOLLOW LAKE,GREENE,2571066.000000000000000,C,ENVIRONMENTAL PROTECTION AGENCY,"DEJARNETTE, JEFF", ,2000.000000000000000,IN,1910116.160156250000000,27811.577906707789225
32,1,1264,H-31-P44-14-P53,578.600000000000023,7.900000000000000,Lake Mahopac,CARMEL WD 8,NY3903644,LAKE MAHOPAC,PUTNAM,2571369.000000000000000,C, ,CARMEL TOWN SUPERVISOR,845-628-1500,1600.000000000000000,IN,4164451.746093750000000,17064.117082468077570
33,1,1336,H-171-17-21-P839,149.800000000000011,2.400000000000000,Cooper Lake,KINGSTON (CITY) WATER DISTRICT,NY5503374,COOPER LAKE RESERVOIR,ULSTER,2576463.000000000000000,C, ,"CITY MAYOR, KINGSTON",845-334-3902,24000.000000000000000,IN,1101109.167968750000000,5144.799071193574491
34,2,1438,H-221-4-PN270,383.699999999999989,11.600000000000000,Watervliet Reservoir,WATERVLIET CITY,NY0110127,WATERVLIET RESERVOIR,ALBANY,2570804.000000000000000,C,ENVIRONMENTAL PROTECTION AGENCY,"GLEASON, MARK",518-270-3800,9889.000000000000000,IN,2880438.132812500000000,25454.694808462081710
35,1,1491,H-139-13-59-P668,320.000000000000000,8.199999999999999,Glenmere Lake,FLORIDA VILLAGE,NY3503527,GLENMERE LAKE,ORANGE,2571305.000000000000000,C,ENVIRONMENTAL PROTECTION AGENCY,"FLORIDA, MAYOR & VILLAGE BD", ,2883.000000000000000,IN,2299981.882812500000000,17541.460322408907814
36,1,1516,H-240-P5293,0.765271600000000,0.129068930000000,Unnamed Water,CANAJOHARIE (V) WATER WORKS,NY2800137,LOST LAKE - E,MONTGOMERY,2571252.000000000000000,C, ,CANAJOHARIE MAYOR AND VILLAGE BOARD,518-673-5512,2300.000000000000000,IN,5805.503906250000000,284.420840544659086
37,1,1572,H-193-1-P913,62.700000000000003,2.600000000000000,Hollister Lake,ATHENS VILLAGE,NY1900024,HOLLISTER LAKE RESERVOIR,GREENE,2571045.000000000000000,C, ,"PROPER, DENNIS", ,1850.000000000000000,IN,464809.417968750000000,5697.661597913507649
38,1,1602,H-171-P848,8060.199999999999818,52.000000000000000,Ashokan Reservoir,NEW YORK CITY SYSTEM,NY7003493,ASHOKAN RESERVOIR (127858 MG),NEW YORK ( BOROUGH),2572069.000000000000000,C,USEPA REGION 2,"LLOYD, EMILY",718-595-6500,8271000.000000000000000,IN,59090659.296875000000000,112689.728012138148188
39,1,1655,H-240-14-P503A,366.336866769999972,13.698489130000000,Stony Reservoir,LATHAM WATER DISTRICT,NY0100198,STONY CREEK RESERVOIR,ALBANY,2570798.000000000000000,C, ,"FRAZER, JOHN W.",518-783-2750,78500.000000000000000,IN,2758414.820312500000000,30061.395498987661995
40,1,1666,H-240-180-P799,2683.676961470000151,25.497381839999999,Hinckley Reservoir,MVWA - MOHAWK VALLEY WATER AUTHORITY,NY3202411,SOURCE - HINCKLEY INTAKE TOWER STRUCTURE,ONEIDA,2582331.000000000000000,C, ,"SCHREPPEL, CONNIE",315-792-0301,130000.000000000000000,IN,20551571.078125000000000,56432.388088505904307
41,1,1677,H-240-82-63-25-P599,0.483078330000000,0.115016980000000,Unnamed Water,RICHMONDVILLE VILLAGE,NY4700097,SURFACE RESERVOIR # 2,SCHOHARIE,2571460.000000000000000,C, ,"NEARY, KEVIN",518-294-6681,918.000000000000000,IN,3618.683593750000000,252.069264668122486
42,1,1678,H-240-127-13-P681A,0.576791780000000,0.141730710000000,Fort Plain Reservoir,FORT PLAIN (V) WATER WORKS,NY2800139,NORTH CREEK RESERVOIR,MONTGOMERY,2571256.000000000000000,C, ,FORT PLAIN MAYOR AND VILLAGE BOARD,518-993-4271,2400.000000000000000,IN,4372.136718750000000,311.787931784989098
43,1,1802,H-240-144-9-15-P708,112.345664999999997,5.071957700000000,Klondike Reservoir,LITTLE FALLS CITY,NY2102308,KLONDIKE IMPOUNDING RESERVOIR,HERKIMER,2571108.000000000000000,C, ,LITTLE FALLS MAYOR & BRD OF PUBLIC WORKS,315-823-2400,5800.000000000000000,IN,857567.789062500000000,11203.761151783448440
44,1,1895,SL-25-P309,6795.191579139999703,79.937890990000000,Cranberry Lake,WANAKENA STATE RANGER SCHOOL,NY4411830,SURFACE IMPOUNDMENT,ST LAWRENCE,2623888.000000000000000,NTNC, ,SUNY COLLEGE OF ENV. SCIENCE & FORESTRY,315-848-2566,100.000000000000000,IN,53501558.937500000000000,179422.593352460768074
45,1,2024,SL-1-P109,4857.705888100000266,47.967925070000000,Tupper Lake,TUPPER LAKE V,NY1600012,TUPPER LAKE INTAKE,FRANKLIN,2570997.000000000000000,C, ,TUPPER LAKE MAYOR AND VILLAGE TRUSTEES,518-359-3341,5500.000000000000000,IN,38268932.152343750000000,107706.035480563004967
46,1,2059,SL-25-P301,233.997509559999997,6.985394940000000,Newton Falls Reservoir Lo,NEWTON FALLS WATER DISTRICT,NY4404403,SURFACE-OSWEGATCHIE RIVER,ST LAWRENCE,2571418.000000000000000,C, ,SUPERVISOR & TOWN BOARD,315-848-2915,350.000000000000000,IN,1845592.261718750000000,15694.130542011233047
47,1,2157,SL-1-P293-4-P307,1235.008056429999897,15.425551470000000,Blue Mountain Lake,BLUE MT LAKE WD,NY2000135,BLUE MT LAKE INTAKE,HAMILTON,2571072.000000000000000,C, ,INDIAN LAKE SUPERVISOR AND TOWN BOARD,518-648-5885,400.000000000000000,IN,9624062.757812500000000,34432.271728318890382
48,2,2190,ONT-117-70-P115,832.093730090000008,8.106793200000000,Silver Lake,PERRY VILLAGE,NY6000613,SILVER LAKE INTAKE #1,WYOMING,2572029.000000000000000,C, ,"DRAIN, JEFFREY",585-237-3720,3945.000000000000000,IN,6232515.304687500000000,17759.198733645669563
49,1,2222,C-86-3-P338,96.200000000000003,1.900000000000000,Bartlett Pond,MORIAH WD,NY1500287,BARTLETT POND INTAKE (PRIMARY),ESSEX,2570950.000000000000000,C, ,MORIAH SUPERVISOR AND TOWN BOARD,518-546-8631,3100.000000000000000,IN,755431.468750000000000,4336.206954341144410
50,1,2274,H-369-P127-33-1-P150A,0.689187350000000,0.141906840000000,Gloversville Reservoir,GLOVERSVILLE (C) WATER WORKS,NY1700018,CONTROL POND,FULTON,2594144.000000000000000,C, ,GLOVERSVILLE CITY WATER COMMISSIONERS,518-773-4518,17991.000000000000000,IN,5243.578125000000000,312.909243453963654
51,1,2399,H-240-127-25-P686-4-P689,131.399566429999993,3.783686190000000,Vandenburg Pond,GLOVERSVILLE (C) WATER WORKS,NY1700018,LAKE EDWARD - E,FULTON,2571019.000000000000000,C, ,GLOVERSVILLE CITY WATER COMMISSIONERS,518-773-4518,17991.000000000000000,IN,999231.984375000000000,8347.613763985995320
52,1,2413,H-369-P127-21-3-P135,161.827258449999988,3.782467220000000,Steele Reservoir,AMSTERDAM (C),NY2800136,STEELE RESERVOIR,MONTGOMERY,2613137.000000000000000,C, ,AMSTERDAM MAYOR & COMMON COUNCIL,518-841-4310,20700.000000000000000,IN,1232035.972656250000000,8352.074464131157583
53,1,2415,H-369-P127-21-P136A,250.635766859999990,6.189271060000000,Ireland Vly,AMSTERDAM (C),NY2800136,IRELAND VLY,MONTGOMERY,2571243.000000000000000,C, ,AMSTERDAM MAYOR & COMMON COUNCIL,518-841-4310,20700.000000000000000,IN,1907867.062500000000000,13664.333856456030844
54,3,2440,SL-1-P293,5397.190721609999855,48.749041439999999,Raquette Lake,"ANTLERS OF RAQUETTE LAKE, INC.",NY2010811,RAQUETTE LAKE,HAMILTON,2571077.000000000000000,NC,PUBLIC SERVICE COMMISSION,"POHL, DEAN", ,120.000000000000000,IN,42028569.167968750000000,108798.169077561586164
55,3,2550,ONT-66-12-43-P212,6796.898912849999761,26.534551100000002,Owasco Lake,OWASCO WATER DISTRICT,NY0501721,OWASCO LAKE,CAYUGA,2570825.000000000000000,C, ,OWASCO SUPERVISOR & TOWN BOARD, ,3000.000000000000000,IN,51197545.476562500000000,58302.114575149098528
56,6,2577,ONT-66-12-P296,42614.823628819998703,105.828777299999999,Cayuga Lake,WELLS COLLEGE,NY0512920,"CAYUGA LAKE - 8"" INTAKE, 18-28 FT. DEEP",CAYUGA,2570832.000000000000000,C, ,WELLS COLLEGE PRESIDENT,315-364-3203,400.000000000000000,IN,319598445.621093750000000,232136.138090933614876
57,1,2709,D-70-20-25-9-9-P311,74.299999999999997,2.700000000000000,Lily Pond,LIBERTY VILLAGE,NY5203329,LILY POND INTAKE,SULLIVAN,2575487.000000000000000,C, ,"KAVLESKI, JOSEPH",845-796-8650,4400.000000000000000,IN,543263.035156250000000,5860.784204056807539
58,1,2729,ONT-19-45-10-P594,1.200000000000000,0.200000000000000,Lowville Reservoir,LOWVILLE VILLAGE,NY2402365,LOWVILLE WATERSHED (RESERVOIR),LEWIS,2571216.000000000000000,C, ,"TABOLT, MARK",315-376-6624,4000.000000000000000,IN,9307.914062500000000,497.516015964822998
59,1,2772,PA-3-57-5-49-P34,23.473053920000002,1.003781610000000,Hornell Rs No 1,HORNELL CITY,NY5001215,RESERVOIR #1,STEUBEN,2571488.000000000000000,C, ,"HOGAN, SHAWN", ,8590.000000000000000,IN,174167.394531250000000,2185.926512666814688
60,7,2830,ONT-66-12-52-P286,10527.952756579999914,41.046172050000003,Canandaigua Lake,GORHAM TOWN WD,NY3401170,CANANDAIGUA LAKE,ONTARIO,2571293.000000000000000,C, ,"LIGHTFOOTE, FREDERICK",585-526-6317,4950.000000000000000,IN,79119406.406250000000000,90097.185640417781542
61,1,2883,C-119-P398,70.900000000000006,2.100000000000000,Pine Lake,WHITEHALL VILLAGE,NY5700124,PINE LAKE,WASHINGTON,2571998.000000000000000,C, ,WHITEHALL MAYOR AND VILLAGE BOARD,518-499-0871,2800.000000000000000,IN,547888.507812500000000,4784.125003038150680
62,4,2945,SR-P404,4099.850265850000142,20.303110480000001,Otsego Lake,BLUE MINGO GRILL,NY3821952,INFILTRATION GALLERY,OTSEGO,2574018.000000000000000,NC, ,"MOFFAT, J. MICHAEL", ,40.000000000000000,IN,30822278.421875000000000,44568.914380010333844
63,10,2961,ONT-66-12-P369-115-P388,11678.126354210000500,59.601173690000003,Keuka Lake,BLUFFERS (THE),NY5000663,INTAKE,STEUBEN,2571483.000000000000000,NC, ,"MCINROY, RICHARD",607-292-3328,25.000000000000000,IN,87070164.753906250000000,130316.540682872699108
64,9,3085,ONT-66-12-P369,43385.910213360002672,79.184057760000002,Seneca Lake,CAMP SENECA LAKE,NY6112874,SENECA LAKE,YATES,2572034.000000000000000,NC, ,"GOLDEN, JOHN M",585-461-2000,280.000000000000000,IN,324862532.289062500000000,173467.880919877672568
65,2,3176,ONT-66-12-29-P193,8720.334726049999517,33.989953450000002,Skaneateles Lake,SYRACUSE CITY,NY3304334,SKANEATELES LAKE INTAKE # 2 (60""),ONONDAGA,2600208.000000000000000,C, ,"SOMERS, DEBORAH",315-473-2609,192000.000000000000000,IN,65745977.316406250000000,74687.978161020655534
66,1,3392,C-23-10-P212,1.700000000000000,0.300000000000000,Unnamed Water,PERU WD,NY0900216,FURNACE BROOK RESERVOIR SURFACE,CLINTON,2570869.000000000000000,C, ,"GLUSHKO, PETE",518-643-2745,2700.000000000000000,IN,13640.296875000000000,572.714722187505458
67,1,3410,C-101-P367-56-P381,35.500000000000000,1.100000000000000,Edgecomb Pond,BOLTON WATER DISTRICT,NY5600101,EDGECOMB POND (143 MG CAPACITY),WARREN,2571900.000000000000000,C, ,"CONOVER, RON",518-664-2461,1800.000000000000000,IN,273753.882812500000000,2407.178393798707930
68,1,3445,ONT-66-12-12-P154-6-P175,2210.347613580000143,14.951641860000001,Otisco Lake,OCWA,NY3304336,OTISCO LAKE INTAKE,ONONDAGA,2571283.000000000000000,C, ,"HOOKER, MICHAEL",315-455-7061,278000.000000000000000,IN,16668650.906250000000000,32856.124399125394120
69,1,3923,SR-44-56-P108,6.100000000000001,0.500000000000000,Unnamed Water,NORWICH CITY,NY0801745,UPPER/LOWER RESERVOIRS/RANSFORD CREEK,CHENANGO,2600249.000000000000000,C, ,"IVARSON, CARL P.",607-334-1255,8000.000000000000000,IN,45297.753906250000000,1173.851558194536665
70,3,4124,ER-3-P1063,1286.799999999999955,17.100000000000001,Kensico Reservoir,NEW YORK CITY SYSTEM,NY7003493,KENSICO RESERVOIR DEL18,NEW YORK ( BOROUGH),2624827.000000000000000,C,USEPA REGION 2,"LLOYD, EMILY",718-595-6500,8271000.000000000000000,IN,9182256.777343750000000,36490.067817247923813
71,1,4176,E-37-7-P160,47.399999999999999,2.000000000000000,Fredonia Reservoir,FREDONIA VILLAGE,NY0600364,FREDONIA RESERVOIR,CHAUTAUQUA,2570842.000000000000000,C, ,VILLAGE OF FREDONIA MAYOR, ,10400.000000000000000,IN,350952.019531250000000,4287.386516948198732
72,1,4219,PA-3-29-P19,18.699999999999999,0.900000000000000,Elmira Reservoir,ELMIRA WATER BOARD,NY0701008,HOFFMAN RESERVOIR INTAKE,CHEMUNG,2570860.000000000000000,C, ,"LADOUCE, MARK",607-739-9179,65898.000000000000000,IN,137400.875000000000000,1860.100591881232276
73,1,4374,E-68-2-P165A,12.700000000000001,0.600000000000000,Minton Reservoir,WESTFIELD VILLAGE AND TOWN,NY0615782,MINTON RESERVOIR,CHAUTAUQUA,2570854.000000000000000,C, ,VILLAGE OF WESTFIELD MAYOR,716-326-2832,3890.000000000000000,IN,93871.421875000000000,1386.285133032738713
74,1,4444,ONT-19-81-18-P782,241.400000000000006,3.400000000000000,Unnamed Water,BALD MT COLONY,NY2101609,THIRD LAKE,HERKIMER,2571093.000000000000000,NC, ,"BARRETT, SANDRA",315-369-3454,80.000000000000000,IN,1872988.882812500000000,7627.468903076070092
75,1,4499,ER-3-P1063,871.500000000000000,15.000000000000000,Kensico Reservoir,WESTCHESTER JOINT WATER WORKS,NY5903435,"NYC KENSICO RES., RYE LAKE INTAKE",WESTCHESTER,2572016.000000000000000,C, ,"ROSENBLUM, NORMAN S.",914-777-7700,55210.000000000000000,IN,6216176.394531250000000,32130.641352275615645
76,1,4522,E-23-6-4-P100,47.500000000000000,2.500000000000000,Clear Lake,COLLINS/GOWANDA CORRECTIONAL FACILITIES,NY1415379,CLEAR LAKE RESERVOIR INTAKE,ERIE,2570942.000000000000000,C, ,"SCHMIDLE, THOMAS",716-532-4588,3800.000000000000000,IN,353962.660156250000000,5469.489243931351666
77,1,4614,D-1-48-P55,66.000000000000000,1.500000000000000,East Pond,WOODRIDGE VILLAGE,NY5203348,EAST POND INTAKE,SULLIVAN,2571518.000000000000000,C, ,"MCKEON, ROBERT",845-434-6320,902.000000000000000,IN,480713.625000000000000,3309.476434612110097
78,1,4708,ONT-19-40-P493,6224.699999999999818,110.100000000000009,Stillwater Reservoir,RAP SHAW CLUB,NY2130052,STILLWATER RESERVOIR,HERKIMER,2625896.000000000000000,NC, ,"PERFETTO, JERRY",315-376-3428,25.000000000000000,IN,48575371.484375000000000,245968.404210424196208
79,1,4741,E-23-20-19-P104A,1.200000000000000,0.300000000000000,Unnamed Water,GOWANDA VILLAGE,NY0400340,POINT PETER BROOK INTAKE,CATTARAUGUS,2570814.000000000000000,C, ,"KLANCER, RICHARD",716-532-3353,2800.000000000000000,IN,9193.503906250000000,548.546292373900883
80,1,4756,E-P166M,3.300000000000000,0.300000000000000,Unnamed Water,RIPLEY WATER DISTRICT,NY0600372,BELSON CREEK,CHAUTAUQUA,2570843.000000000000000,C, ,RIPLEY TOWN SUPERVISOR,716-736-2201,1300.000000000000000,IN,24471.656250000000000,583.972075444757365
81,1,4956,H-260-2-P1083,21.699999999999999,1.600000000000000,Mechanicville Reservoir,MECHANICVILLE CITY,NY4500166,MECHANICVILLE RESERVOIR (65 MG CAPACITY),SARATOGA,2571436.000000000000000,C, ,MECHANICVILLE MAYOR AND COMMON COUNCIL,518-664-9884,5200.000000000000000,IN,163681.328125000000000,3611.183932830874255
82,1,5366,C-15-58-P88,239.900000000000006,3.900000000000000,Mckenzie Pond,SARANAC LAKE V,NY1600011,MCKENZIE POND,FRANKLIN,2570994.000000000000000,C, ,"DORA, JEFF",518-891-4157,5800.000000000000000,IN,1899185.058593750000000,8711.083752170216030
83,1,5396,D-1-2-A-P3,22.800000000000001,1.100000000000000,Reservoir No.1,PORT JERVIS CITY,NY3503554,"RESERVOIRS #1, #2, #3, BOEHMLER POND",ORANGE,2571317.000000000000000,C, ,"PORT JERVIS, MAYOR & COMMON COUNCIL",845-856-4017,9000.000000000000000,IN,164248.386718750000000,2304.229997215554249
84,1,5558,H-299-P27-13-1-P30-2-P35,67.400000000000006,2.800000000000000,Loughberry Lake,SARATOGA SPRINGS CITY,NY4500168,LOUGHBERRY LAKE,SARATOGA,2571438.000000000000000,C, ,"KIRKPATRICK, THOMAS J.",518-587-3550,26525.000000000000000,IN,512026.058593750000000,6092.756122561098891
85,1,5662,D-71-P453-2-P461-1-P462,5.600000000000001,0.500000000000000,Stamford Reservoir,STAMFORD VILLAGE,NY1200272,TAYLOR RESERVOIR,DELAWARE,2570911.000000000000000,C, ,STAMFORD MAYOR AND VILLAGE BOARD, ,1280.000000000000000,IN,41309.457031250000000,1167.124952737886360
