"PWS.ID","PWS.Name","PWS.Type","Primary.Source","Counties.Served","Cities.Served","PopulationServed.Count","Number.of.Facilities","Owner.Type","Facility.Id","Facility.Name","EPA.Region","Primacy.Agency","Facility.Type.Description","Is.Source.Ind","Activity.Status","Deactivation.Date","Facility.Activity","Facility.Deactivation.Date","Water.Type.Description","Availability.Description","Primacy.Type","Season.Begin.Date","Season.End.Date","Population.Served.Count","Service.Connections.Count","Is.Wholesaler","Seller.Pwsid","Seller.Pws.Name","Seller.Treatment.Description","Filtration.Status.Description","Treatment.Process","Treatment.Objective","LAKE_HISTORY_ID","Previous_Assessment","LOCATION_WATERBODY_CLASSIFICATION","LOCATION_PWL_ID","LAKE_FIN","LAKE_WATERBODY_NAME","Number.of.Violations","Number.of.Site.Visits"
"NY0801745","NORWICH CITY","Community water system","Surface water","Chenango","NORWICH (C)",8000,18,"Local government",54544,"UPPER/LOWER RESERVOIRS/RANSFORD CREEK","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",8000,2560,"N","","","","Filtration already in place","","","0602UWB0108","Needs Verification","A","0602-0010","SR-44-56-P108","Norwich Reservoir W",NA,NA
"NY0801745","NORWICH CITY","Community water system","Surface water","Chenango","NORWICH (C)",8000,18,"Local government",11454,"WELL #4 - 237' DEEP - 1500 GPM","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",8000,2560,"N","","","","","","","0602UWB0109","Needs Verification","A","0602-0010","SR-44-56-P109","Norwich Reservoir E",NA,NA
"NY0801745","NORWICH CITY","Community water system","Surface water","Chenango","NORWICH (C)",8000,18,"Local government",11454,"WELL #4 - 237' DEEP - 1500 GPM","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",8000,2560,"N","","","","","","","0601CHE0213","No Known Impact","A","0601-0013","SR-146-19-6-1-P213","Chenango Lake",NA,NA
"NY0801745","NORWICH CITY","Community water system","Surface water","Chenango","NORWICH (C)",8000,18,"Local government",11454,"WELL #4 - 237' DEEP - 1500 GPM","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",8000,2560,"N","","","","","","","0602UWB0108","Needs Verification","A","0602-0010","SR-44-56-P108","Norwich Reservoir W",NA,NA
"NY0801745","NORWICH CITY","Community water system","Surface water","Chenango","NORWICH (C)",8000,18,"Local government",11456,"WELL #3 - 233' DEEP - 1200 GPM","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",8000,2560,"N","","","","","","","0602UWB0109","Needs Verification","A","0602-0010","SR-44-56-P109","Norwich Reservoir E",NA,NA
"NY0801745","NORWICH CITY","Community water system","Surface water","Chenango","NORWICH (C)",8000,18,"Local government",11456,"WELL #3 - 233' DEEP - 1200 GPM","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",8000,2560,"N","","","","","","","0601CHE0213","No Known Impact","A","0601-0013","SR-146-19-6-1-P213","Chenango Lake",NA,NA
"NY0801745","NORWICH CITY","Community water system","Surface water","Chenango","NORWICH (C)",8000,18,"Local government",11456,"WELL #3 - 233' DEEP - 1200 GPM","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",8000,2560,"N","","","","","","","0602UWB0108","Needs Verification","A","0602-0010","SR-44-56-P108","Norwich Reservoir W",NA,NA
"NY0900217","PLATTSBURGH CITY","Community water system","Surface water","Clinton","PLATTSBURGH (C)",24173,25,"Local government",29830,"PATTERSON RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",24173,5357,"N","","","","Filtration already in place","","","1003MEA5064","No Known Impact","A","1003-0114","C-15-5-P5064","Mead Reservoir",NA,NA
"NY0900217","PLATTSBURGH CITY","Community water system","Surface water","Clinton","PLATTSBURGH (C)",24173,25,"Local government",29830,"PATTERSON RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",24173,5357,"N","","","","Filtration already in place","","","1003PAT0027","No Known Impact","A","1003-0114","C-15-5-3-P27","Patterson Reservoir",NA,NA
"NY0900217","PLATTSBURGH CITY","Community water system","Surface water","Clinton","PLATTSBURGH (C)",24173,25,"Local government",29828,"MEAD RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",24173,5357,"N","","","","Filtration already in place","","","1003MEA5064","No Known Impact","A","1003-0114","C-15-5-P5064","Mead Reservoir",NA,NA
"NY0900217","PLATTSBURGH CITY","Community water system","Surface water","Clinton","PLATTSBURGH (C)",24173,25,"Local government",29828,"MEAD RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",24173,5357,"N","","","","Filtration already in place","","","1003PAT0027","No Known Impact","A","1003-0114","C-15-5-3-P27","Patterson Reservoir",NA,NA
"NY1200272","STAMFORD VILLAGE","Community water system","Surface water","Delaware","STAMFORD (V)",1280,9,"Local government",29852,"TAYLOR RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",1280,500,"N","","","","Filtration already in place","","","1404STA0462","UnAssessed","A","1404-0090","D-71-P453-2-P461-1-P462","Stamford Reservoir",NA,NA
"NY1200272","STAMFORD VILLAGE","Community water system","Surface water","Delaware","STAMFORD (V)",1280,9,"Local government",12433,"KELLY WELL (CAISSON)","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",1280,500,"N","","","","","","","1404STA0462","UnAssessed","A","1404-0090","D-71-P453-2-P461-1-P462","Stamford Reservoir",NA,NA
"NY1400397","AKRON VILLAGE","Community water system","Surface water","Erie","AKRON  (V)",3100,17,"Local government",29864,"RESERVOIR AKRON","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3100,1180,"N","","","","Filtration already in place","","","0102AKR0013","No Known Impact","A","0102-0033","ONT-158-12-11-1-13-P13","Akron Reservoir",NA,NA
"NY1500278","ESSEX WD","Community water system","Surface water","Essex","ESSEX (T)",350,5,"Local government",29877,"LAKE CHAMPLAIN INTAKE","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",350,170,"N","","","","Filtration already in place","","","1000CHA0001","Impaired","A","1000-0002","C-P1","Lake Champlain",50,20
"NY1500283","CHESTERFIELD WD","Community water system","Surface water","Essex","CHESTERFIELD (T)",2300,12,"Local government",29879,"BUTTERNUT POND INTAKE","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",2300,1000,"N","","","","Filtration already in place","","","1004BUT0218","No Known Impact","AA","1004-0053","C-25-8-P218","Butternut Pond",NA,NA
"NY1500284","LAKE PLACID V","Community water system","Surface water","Essex","LAKE PLACID (V)",5000,8,"Local government",29880,"LAKE PLACID INTAKE","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",5000,2200,"N","","","","Filtration already in place","","","1004PLA0254","No Known Impact","AA-S","1004-0068","C-25-26-35-5-P254","Lake Placid",NA,NA
"NY1500287","MORIAH WD","Community water system","Surface water","Essex","MORIAH (T)",3100,16,"Local government",29882,"BARTLETT POND INTAKE (PRIMARY)","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3100,1030,"N","","","","Filtration already in place","","","1005NOR0340","Impaired","AA(T)","1001-0027","C-86-3-8-P340","North Pond",NA,NA
"NY1500287","MORIAH WD","Community water system","Surface water","Essex","MORIAH (T)",3100,16,"Local government",29882,"BARTLETT POND INTAKE (PRIMARY)","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3100,1030,"N","","","","Filtration already in place","","","1005MUD0339","Impaired","AA(T)","1001-0027","C-86-3-7-P339","Mud Pond",NA,NA
"NY1500287","MORIAH WD","Community water system","Surface water","Essex","MORIAH (T)",3100,16,"Local government",29882,"BARTLETT POND INTAKE (PRIMARY)","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3100,1030,"N","","","","Filtration already in place","","","1005BAR0338","Impaired","AA(T)","1001-0027","C-86-3-P338","Bartlett Pond",NA,NA
"NY1500293","TICONDEROGA WD","Community water system","Surface water","Essex","TICONDEROGA (T)",3700,18,"Local government",29886,"GOOSENECK POND INTAKE","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3700,2000,"N","","","","Filtration already in place","","","1006GEO0367","Impaired","AA-S","1006-0016","C-101-P367","Lake George",NA,NA
"NY1500293","TICONDEROGA WD","Community water system","Surface water","Essex","TICONDEROGA (T)",3700,18,"Local government",29885,"LAKE GEORGE INTAKE","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3700,2000,"N","","","","Filtration already in place","","","1104GOO0442","UnAssessed","AA(T)","1104-0236","H-391-39-1-P438-4-P442","Gooseneck Pond",NA,NA
"NY1500293","TICONDEROGA WD","Community water system","Surface water","Essex","TICONDEROGA (T)",3700,18,"Local government",29885,"LAKE GEORGE INTAKE","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3700,2000,"N","","","","Filtration already in place","","","1006GEO0367","Impaired","AA-S","1006-0016","C-101-P367","Lake George",NA,NA
"NY1500293","TICONDEROGA WD","Community water system","Surface water","Essex","TICONDEROGA (T)",3700,18,"Local government",87965,"WELL #1","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",3700,2000,"N","","","","","","","1104GOO0442","UnAssessed","AA(T)","1104-0236","H-391-39-1-P438-4-P442","Gooseneck Pond",NA,NA
"NY1500293","TICONDEROGA WD","Community water system","Surface water","Essex","TICONDEROGA (T)",3700,18,"Local government",87965,"WELL #1","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",3700,2000,"N","","","","","","","1006GEO0367","Impaired","AA-S","1006-0016","C-101-P367","Lake George",NA,NA
"NY1500293","TICONDEROGA WD","Community water system","Surface water","Essex","TICONDEROGA (T)",3700,18,"Local government",87967,"WELL #2","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",3700,2000,"N","","","","","","","1104GOO0442","UnAssessed","AA(T)","1104-0236","H-391-39-1-P438-4-P442","Gooseneck Pond",NA,NA
"NY1500293","TICONDEROGA WD","Community water system","Surface water","Essex","TICONDEROGA (T)",3700,18,"Local government",87967,"WELL #2","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",3700,2000,"N","","","","","","","1006GEO0367","Impaired","AA-S","1006-0016","C-101-P367","Lake George",NA,NA
"NY1500293","TICONDEROGA WD","Community water system","Surface water","Essex","TICONDEROGA (T)",3700,18,"Local government",29886,"GOOSENECK POND INTAKE","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",3700,2000,"N","","","","Filtration already in place","","","1104GOO0442","UnAssessed","AA(T)","1104-0236","H-391-39-1-P438-4-P442","Gooseneck Pond",NA,NA
"NY1500299","WILLSBORO WD","Community water system","Surface water","Essex","WILLSBORO (T)",1571,7,"Local government",29888,"LAKE CHAMPLAIN INTAKE","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",1571,1200,"N","","","","Filtration already in place","","","1000CHA0001","Impaired","A","1001-0015","C-P1","Lake Champlain",NA,NA
"NY1520370","PORT KENT WD","Community water system","Surface water","Essex","CHESTERFIELD (T)",158,11,"Local government",80774,"LAKE CHAMPLAIN","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",158,93,"N","","","","Filtration already in place","","","1000CHA0001","Impaired","A","1000-0002","C-P1","Lake Champlain",32,41
"NY1600012","TUPPER LAKE V","Community water system","Surface water","Franklin","TUPPER LAKE (V)",5500,14,"Local government",87105,"DRILLED WELL #1 (115')","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",5500,1750,"N","","","","","","","0903LSI0182","UnAssessed","AA(T)","0903-0158","SL-1-P180-4-P182","Little Simon Pond",NA,NA
"NY1600012","TUPPER LAKE V","Community water system","Surface water","Franklin","TUPPER LAKE (V)",5500,14,"Local government",87106,"DRILLED WELL #2 (118')","Region 2","New York","Well ","Y","Active",NA,"Active","","Ground water","Permanent","State","","",5500,1750,"N","","","","","","","0903LSI0182","UnAssessed","AA(T)","0903-0158","SL-1-P180-4-P182","Little Simon Pond",NA,NA
"NY1600012","TUPPER LAKE V","Community water system","Surface water","Franklin","TUPPER LAKE (V)",5500,14,"Local government",29922,"LITTLE SIMON POND INTAKE","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",5500,1750,"N","","","","Filtration already in place","","","0903LSI0182","UnAssessed","AA(T)","0903-0158","SL-1-P180-4-P182","Little Simon Pond",NA,NA
"NY1700018","GLOVERSVILLE (C) WATER WORKS","Community water system","Surface water","Fulton","GLOVERSVILLE (C)",17991,27,"Local government",29941,"RICE RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",17991,6751,"N","","","","Filtration already in place","","","1201VAN0689","UnAssessed","C","1201-0139","H-240-127-25-P686-4-P689","Vandenburg Pond",NA,NA
"NY1700018","GLOVERSVILLE (C) WATER WORKS","Community water system","Surface water","Fulton","GLOVERSVILLE (C)",17991,27,"Local government",29941,"RICE RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",17991,6751,"N","","","","Filtration already in place","","","1104RIC0152D","UnAssessed","A","1104-0127","H-369-P127-33-3-1-P152D","Rice Reservoir",NA,NA
"NY1700018","GLOVERSVILLE (C) WATER WORKS","Community water system","Surface water","Fulton","GLOVERSVILLE (C)",17991,27,"Local government",29941,"RICE RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",17991,6751,"N","","","","Filtration already in place","","","1104POR0152E","UnAssessed","A","1104-0127","H-369-P127-33-3-1-P152E","Port Reservoir",NA,NA
"NY1700018","GLOVERSVILLE (C) WATER WORKS","Community water system","Surface water","Fulton","GLOVERSVILLE (C)",17991,27,"Local government",29941,"RICE RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",17991,6751,"N","","","","Filtration already in place","","","1104CAM0152","UnAssessed","A","1104-0125","H-369-P127-33-1-P152","Cameron Reservoir",NA,NA
"NY1700018","GLOVERSVILLE (C) WATER WORKS","Community water system","Surface water","Fulton","GLOVERSVILLE (C)",17991,27,"Local government",29941,"RICE RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",17991,6751,"N","","","","Filtration already in place","","","1104JAC0151","UnAssessed","A","1104-0125","H-369-P127-33-1-P151","Jackson Summit Reservoir",NA,NA
"NY1700018","GLOVERSVILLE (C) WATER WORKS","Community water system","Surface water","Fulton","GLOVERSVILLE (C)",17991,27,"Local government",29940,"JACKSON SUMMIT RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",17991,6751,"N","","","","Filtration already in place","","","1201VAN0689","UnAssessed","C","1201-0139","H-240-127-25-P686-4-P689","Vandenburg Pond",NA,NA
"NY1700018","GLOVERSVILLE (C) WATER WORKS","Community water system","Surface water","Fulton","GLOVERSVILLE (C)",17991,27,"Local government",29940,"JACKSON SUMMIT RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",17991,6751,"N","","","","Filtration already in place","","","1104RIC0152D","UnAssessed","A","1104-0127","H-369-P127-33-3-1-P152D","Rice Reservoir",NA,NA
"NY1700018","GLOVERSVILLE (C) WATER WORKS","Community water system","Surface water","Fulton","GLOVERSVILLE (C)",17991,27,"Local government",29939,"PORT CREEK RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",17991,6751,"N","","","","Filtration already in place","","","1201VAN0689","UnAssessed","C","1201-0139","H-240-127-25-P686-4-P689","Vandenburg Pond",NA,NA
"NY1700018","GLOVERSVILLE (C) WATER WORKS","Community water system","Surface water","Fulton","GLOVERSVILLE (C)",17991,27,"Local government",29939,"PORT CREEK RESERVOIR","Region 2","New York","Intake","Y","Active",NA,"Active","","Surface water","Permanent","State","","",17991,6751,"N","","","","Filtration already in place","","","1104RIC0152D","UnAssessed","A","1104-0127","H-369-P127-33-3-1-P152D","Rice Reservoir",NA,NA
