"LOCATION_PWL_ID","waterbody","huc_10","basin_name","class","water_type","segment_assessment","LAKE_HISTORY_ID","LOCATION_HISTORY_ID","LOCATION_COUNTY","LOCATION_NAME","LOCATION_TYPE","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE","LOCATION_HORIZONTAL_METHOD","LOCATION_HORIZONTAL_DATUM","LOCATION_WATERBODY_CLASSIFICATION"
"0104-0067","Beaver Lake",412010201,"Lake Erie-Niagara River","b","pond","IR3_unassessed","0104BEA0133","0104BEA0133_C","Cattaraugus","BEAVER LAKE CENTROID","CENTROID",-78.396599,42.447201,"INTERPOLATION-OTHER","NAD83","B"
"0104-0068","Skim Lake",412010201,"Lake Erie-Niagara River","b","pond","IR3_unassessed","0104SKI0141","0104SKI0141_C","Cattaraugus","SKIM LAKE CENTROID","CENTROID",-78.377502,42.481201,"INTERPOLATION-OTHER","NAD83","B"
"0104-0068","Skim Lake",412010201,"Lake Erie-Niagara River","b","pond","IR3_unassessed","0104SKI0141","0104SKI0141_DH","Cattaraugus","SKIM LAKE DEEP HOLE","DEEP HOLE",-78.377238,42.48177,"INTERPOLATION-OTHER","NAD83","B"
"0104-0069","Moores Pond",412010201,"Lake Erie-Niagara River","c(t)","pond","IR3_unassessed","0104MOO0146","0104MOO0146_C","Cattaraugus","MOORES POND CENTROID","CENTROID",-78.342796,42.474201,"INTERPOLATION-OTHER","NAD83","C(T)"
"0104-0069","Moores Pond",412010201,"Lake Erie-Niagara River","c(t)","pond","IR3_unassessed","0104MOO0146","0104MOO0146_DH","Cattaraugus","MOORES POND DEEP HOLE","DEEP HOLE",-78.343084,42.474566,"INTERPOLATION-OTHER","NAD83","C(T)"
"0104-0070","Crystal Lake",412010201,"Lake Erie-Niagara River","b","pond","IR5_impaired","0104CRY0147","0104CRY0147_BEACH","Cattaraugus","CAMP SCOUTHAVEN","SHORE",-78.34201,42.464747,"INTERPOLATION-OTHER","NAD83","B"
"0104-0070","Crystal Lake",412010201,"Lake Erie-Niagara River","b","pond","IR5_impaired","0104CRY0147","0104CRY0147_DH","Cattaraugus","CRYSTAL LAKE (FARMERSVILLE STA.) DEEP HOLE","DEEP HOLE",-78.343699,42.46314,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","B"
"0104-0070","Crystal Lake",412010201,"Lake Erie-Niagara River","b","pond","IR5_impaired","0104CRY0147","0104CRY0147_C","Cattaraugus","CRYSTAL LAKE CENTROID","CENTROID",-78.343399,42.463699,"INTERPOLATION-OTHER","NAD83","B"
"0104-0071","Hiram Lake",412010201,"Lake Erie-Niagara River","b","pond","IR3_unassessed","0104HIR5501","0104HIR5501_OUT","Wyoming","HIRAM LAKE OUTLET","OUTLET",-78.336538,42.545542,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","B"
"0104-0071","Hiram Lake",412010201,"Lake Erie-Niagara River","b","pond","IR3_unassessed","0104HIR5501","0104HIR5501_C","Wyoming","HIRAM LAKE CENTROID","CENTROID",-78.335899,42.544498,"INTERPOLATION-OTHER","NAD83","B"
"0105-0009","Lake Erie (Dunkirk Harbor)",412010102,"Lake Erie-Niagara River","b","pond","IR5_impaired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105-0011","Lake Erie (Barcelona Harbor)",412010103,"Lake Erie-Niagara River","b","pond","IR5_impaired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105-0014","Silver Creek Reservoir",412010101,"Lake Erie-Niagara River","a","pond","IR3_unassessed","0105SIL0157","0105SIL0157_DH","Chautauqua","SILVER CREEK RESERVOIR DEEP HOLE","DEEP HOLE",-79.09329,42.47055,"INTERPOLATION-OTHER","NAD83","A"
"0105-0014","Silver Creek Reservoir",412010101,"Lake Erie-Niagara River","a","pond","IR3_unassessed","0105SIL0157","0105SIL0157_C","Chautauqua","SILVER CREEK RESERVOIR CENTROID","CENTROID",-79.093399,42.468498,"INTERPOLATION-OTHER","NAD83","A"
"0105-0021","Fredonia Reservoir",412010102,"Lake Erie-Niagara River","a","pond","IR5_impaired","0105FRE0160","0105FRE0160_DH","Chautauqua","FREDONIA RESERVOIR DEEP HOLE","DEEP HOLE",-79.309897,42.395113,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","A"
"0105-0021","Fredonia Reservoir",412010102,"Lake Erie-Niagara River","a","pond","IR5_impaired","0105FRE0160","0105FRE0160_C","Chautauqua","FREDONIA RESERVOIR CENTROID","CENTROID",-79.311096,42.391998,"INTERPOLATION-OTHER","NAD83","A"
"0105-0025","Brocton Reservoir",412010103,"Lake Erie-Niagara River","a","pond","IR3_needs-verification","0105BRO0160K","0105BRO0160K_C","Chautauqua","BROCTON RESERVOIR CENTROID","CENTROID",-79.426102,42.368099,"INTERPOLATION-OTHER","NAD83","A"
"0105-0025","Brocton Reservoir",412010103,"Lake Erie-Niagara River","a","pond","IR3_needs-verification","0105BRO0160K","0105BRO0160K_DH","Chautauqua","BROCTON RESERVOIR DEEP HOLE","DEEP HOLE",-79.42637,42.36948,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","A"
"0105-0029","Minton Reservoir",412010103,"Lake Erie-Niagara River","a","pond","IR3_needs-verification","0105MIN0165A","0105MIN0165A_C","Chautauqua","MINTON RESERVOIR CENTROID","CENTROID",-79.575798,42.296299,"INTERPOLATION-OTHER","NAD83","A"
"0105-0029","Minton Reservoir",412010103,"Lake Erie-Niagara River","a","pond","IR3_needs-verification","0105MIN0165A","0105MIN0165A_DH","Chautauqua","MINTON RESERVOIR DEEP HOLE","DEEP HOLE",-79.57616,42.29744,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","A"
"0105-0033","Lake Erie (Main Lake, South)",412010103,"Lake Erie-Niagara River","a-special","pond","IR5_impaired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105-0034","East Mud Lake",412010101,"Lake Erie-Niagara River","c","pond","IR3_unassessed","0105EMU0144","0105EMU0144_BEACH","Chautauqua","BALL HILL CAMPGROUND","SHORE",-79.098256,42.43446,"INTERPOLATION-OTHER","NAD83","C"
"0105-0034","East Mud Lake",412010101,"Lake Erie-Niagara River","c","pond","IR3_unassessed","0105EMU0144","0105EMU0144_DH","Chautauqua","EAST MUD LAKE DEEP HOLE","DEEP HOLE",-79.09632,42.43353,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","C"
"0105-0034","East Mud Lake",412010101,"Lake Erie-Niagara River","c","pond","IR3_unassessed","0105EMU0144","0105EMU0144_C","Chautauqua","EAST MUD LAKE CENTROID","CENTROID",-79.098801,42.4324,"INTERPOLATION-OTHER","NAD83","C"
"0201-0008","Ischua Creek Reservoir",501000104,"Allegheny River","c(t)","pond","IR3_unassessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0201-0016","Cuba Lake",501000104,"Allegheny River","b","pond","IR5_impaired","0201CUB0115","0201CUB0115_CSL_02","Allegany","CUBA LAKE CSL SITE 2","OTHER",-78.2928,42.2534,"INTERPOLATION-OTHER","NAD83","B"
"0201-0016","Cuba Lake",501000104,"Allegheny River","b","pond","IR5_impaired","0201CUB0115","0201CUB0115_CSL_03","Allegany","CUBA LAKE CSL SITE 3","OTHER",-78.2928,42.2534,"INTERPOLATION-OTHER","NAD83","B"
"0201-0016","Cuba Lake",501000104,"Allegheny River","b","pond","IR5_impaired","0201CUB0115","0201CUB0115_C","Allegany","CUBA LAKE CENTROID","CENTROID",-78.292801,42.253399,"INTERPOLATION-OTHER","NAD83","B"
"0201-0020","Case Lake",501000104,"Allegheny River","c(t)","pond","IR5_impaired","0201CAS0109C","0201CAS0109C_DH","Cattaraugus","CASE LAKE DEEP HOLE","DEEP HOLE",-78.4412,42.32543,"GPS - UNSPECIFIED","NAD83","C(T)"
"0201-0020","Case Lake",501000104,"Allegheny River","c(t)","pond","IR5_impaired","0201CAS0109C","0201CAS0109C_C","Cattaraugus","CASE LAKE CENTROID","CENTROID",-78.440697,42.324402,"INTERPOLATION-OTHER","NAD83","C(T)"
"0201-0023","Allegheny River/Reservoir",501000112,"Allegheny River","b","pond","IR5_impaired","0201ALL5357","0201ALL5357_FA","Cattaraugus","ALLEGHENY RESERVOIR NEAR FRIENDS ACCESS SITE","OTHER",-78.886309,42.055638,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","B"
"0201-0023","Allegheny River/Reservoir",501000112,"Allegheny River","b","pond","IR5_impaired","0201ALL5357","0201ALL5357_C","Cattaraugus","ALLEGHENY RESERVOIR CENTROID","CENTROID",-78.946871,42.030537,"INTERPOLATION-OTHER","NAD83","B"
"0201-0023","Allegheny River/Reservoir",501000112,"Allegheny River","b","pond","IR5_impaired","0201ALL5357","0201ALL5357_PA","Cattaraugus","ALLEGHENY RESERVOIR NEAR PA STATE LINE","OTHER",-78.959616,42.003397,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","B"
"0201-0023","Allegheny River/Reservoir",501000112,"Allegheny River","b","pond","IR5_impaired","0201ALL5357","0201ALL5357_OV","Cattaraugus","ALLEGHENY RESERVOIR NEAR ONOVILLE MARINA","OTHER",-78.958188,42.023829,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","B"
"0201-0023","Allegheny River/Reservoir",501000112,"Allegheny River","b","pond","IR5_impaired","0201ALL5357","0201ALL5357_FR","Cattaraugus","ALLEGHENY RESERVOIR FRIENDS ACCESS BOAT RAMP","SHORE",-78.880669,42.057869,"INTERPOLATION-OTHER","NAD83","B"
"0201-0023","Allegheny River/Reservoir",501000112,"Allegheny River","b","pond","IR5_impaired","0201ALL5357","0201ALL5357_DH","Cattaraugus","ALLEGANY RESERVOIR DEEP HOLE","DEEP HOLE",-78.89069,42.05595,"GPS - UNSPECIFIED","NAD83","B"
"0201-0030","Quaker Lake",501000112,"Allegheny River","b(t)","pond","IR3_needs-verification","0201QUA5359","0201QUA5359_DH","Cattaraugus","QUAKER LAKE DEEP HOLE","DEEP HOLE",-78.874397,42.050788,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","B(T)"
"0201-0030","Quaker Lake",501000112,"Allegheny River","b(t)","pond","IR3_needs-verification","0201QUA5359","0201QUA5359_OPRBEACH","Cattaraugus","ALLEGANY SP (QUAKER)","SHORE",-78.876057,42.050338,"INTERPOLATION-OTHER","NAD83","B(T)"
"0201-0030","Quaker Lake",501000112,"Allegheny River","b(t)","pond","IR3_needs-verification","0201QUA5359","0201QUA5359_C","Cattaraugus","QUAKER LAKE CENTROID","CENTROID",-78.867798,42.043301,"INTERPOLATION-OTHER","NAD83","B(T)"
"0201-0033","Red House Lake",501000108,"Allegheny River","b","pond","IR5_impaired","0201REDXXX1","0201REDXXX1_C","Cattaraugus","Red House Brook Centroid","CENTROID",-78.74588,42.1036,"INTERPOLATION","NAD83","B"
"0201-0033","Red House Lake",501000108,"Allegheny River","b","pond","IR5_impaired","0201STOXXX1","0201STOXXX1_UST","Cattaraugus","STODDARD CREEK AT BRIDGE UPSTREAM OF RED HOUSE LAKE","INLET",-78.747392,42.097272,"INTERPOLATION-OTHER","NAD83","B"
"0201-0033","Red House Lake",501000108,"Allegheny River","b","pond","IR5_impaired","0201RED0095B","0201RED0095B_DH","Cattaraugus","RED HOUSE LAKE DEEP HOLE","DEEP HOLE",-78.745892,42.104343,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","B"
"0201-0033","Red House Lake",501000108,"Allegheny River","b","pond","IR5_impaired","0201STOXXX1","0201STOXXX1_C","Cattaraugus","Stoddard Creek Centroid","CENTROID",-78.74461,42.10281,"INTERPOLATION","NAD83","B"
"0201-0033","Red House Lake",501000108,"Allegheny River","b","pond","IR5_impaired","0201RED0095B","0201RED0095B_OPRBEACH","Cattaraugus","ALLEGANY SP (RED HOUSE)","SHORE",-78.747945,42.10054,"INTERPOLATION-OTHER","NAD83","B"
"0201-0033","Red House Lake",501000108,"Allegheny River","b","pond","IR5_impaired","0201REDXXX1","0201REDXXX1_BOV","Cattaraugus","RED HOUSE BROOK AT CONFLUENCE WITH BOVA CREEK","INLET",-78.724061,42.098318,"INTERPOLATION-OTHER","NAD83","B"
"0201-0033","Red House Lake",501000108,"Allegheny River","b","pond","IR5_impaired","0201RED0095B","0201RED0095B_BC","Cattaraugus","BEELINE OR BEEHUNTER CREEK AT RED HOUSE LAKE","RIVER/STREAM",-78.737987,42.099101,"INTERPOLATION-OTHER","NAD83","B"
"0201-0033","Red House Lake",501000108,"Allegheny River","b","pond","IR5_impaired","0201RED0095B","0201RED0095B_C","Cattaraugus","RED HOUSE LAKE CENTROID","CENTROID",-78.744598,42.102798,"INTERPOLATION-OTHER","NAD83","B"
"0201-0033","Red House Lake",501000108,"Allegheny River","b","pond","IR5_impaired","0201RED0095B","0201RED0095B_MCC","Cattaraugus","MCINTOSH CREEK AT RED HOUSE LAKE","RIVER/STREAM",-78.744105,42.106876,"INTERPOLATION-OTHER","NAD83","B"
"0201-0035","Linlyco/Club Pond",501000108,"Allegheny River","b(t)","pond","IR5_impaired","0201LIN0097A","0201LIN0097A_C","Cattaraugus","LINLYCO LAKE CENTROID","CENTROID",-78.830498,42.273102,"INTERPOLATION-OTHER","NAD83","B(T)"
"0201-0048","Vee Pond",501000105,"Allegheny River","c","pond","IR3_unassessed","0201VEE5457","0201VEE5457_C","Cattaraugus","VEE POND CENTROID","CENTROID",-78.480102,42.156502,"INTERPOLATION-OTHER","NAD83","C"
"0201-0064","Stephens Lake",501000105,"Allegheny River","c","pond","IR3_unassessed","0201STE5520","0201STE5520_C","Cattaraugus","STEPHENS LAKE CENTROID","CENTROID",-78.3647,42.0667,"INTERPOLATION-OTHER","NAD83","C"
"0201-0072","Allegheny River/Reservoir",501000108,"Allegheny River","b","pond","IR3_needs-verification","0201ALL5357","0201ALL5357_HB","Cattaraugus","ALLEGHENY RESERVOIR NORTH OF HIGHBANKS","OTHER",-78.882698,42.076793,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","B"
"0201-0073","Beaver (Alma) Lake",501000102,"Allegheny River","c","pond","IR5_impaired","0201ALM5535","0201ALM5535_C","Allegany","ALMA POND CENTROID","CENTROID",-78.001404,42.014099,"INTERPOLATION-OTHER","NAD83","C"
"0201-0073","Beaver (Alma) Lake",501000102,"Allegheny River","c","pond","IR5_impaired","0201ALM5535","0201ALM5535_DH","Allegany","BEAVER LAKE/ALMA POND DEEP HOLE","DEEP HOLE",-78.00189,42.01421,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","C"
"0202-0001","Upper Cassadaga Lake",501000203,"Allegheny River","b","pond","IR5_impaired","0202UCA0136","0202UCA0136_DH","Chautauqua","UPPER CASSADAGA LAKE DEEP HOLE","DEEP HOLE",-79.325471,42.357515,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","B"
"0202-0001","Upper Cassadaga Lake",501000203,"Allegheny River","b","pond","IR5_impaired","0202UCA0136","0202UCA0136_BEACH_1","Chautauqua","SUMMER BETTER THAN OTHERS CAMP","SHORE",-79.317146,42.360559,"INTERPOLATION-OTHER","NAD83","B"
"0202-0001","Upper Cassadaga Lake",501000203,"Allegheny River","b","pond","IR5_impaired","0202UCA0136","0202UCA0136_C","Chautauqua","UPPER CASSADAGA LAKE CENTROID","CENTROID",-79.3256,42.357399,"INTERPOLATION-OTHER","NAD83","B"
"0202-0001","Upper Cassadaga Lake",501000203,"Allegheny River","b","pond","IR5_impaired","0202UCA0136","0202UCA0136_BEACH_2","Chautauqua","LILY DALE ASSEMBLY","SHORE",-79.324957,42.354559,"INTERPOLATION-OTHER","NAD83","B"
"0202-0002","Middle Cassadaga Lake",501000203,"Allegheny River","c","pond","IR5_impaired","0202MCA0135","0202MCA0135_DH","Chautauqua","MIDDLE CASSADAGA LAKE DEEP HOLE","DEEP HOLE",-79.325196,42.346345,"GPS WIDE AREA AUGMENTATION SYSTEM","NAD83","C"
"0202-0002","Middle Cassadaga Lake",501000203,"Allegheny River","c","pond","IR5_impaired","0202MCA0135","0202MCA0135_C","Chautauqua","MIDDLE CASSADAGA LAKE CENTROID","CENTROID",-79.325798,42.346699,"INTERPOLATION-OTHER","NAD83","C"
